instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,1719.0,98.0,6.0456508328192475,True,False
dkg813,813,4012.0,813.0,25.41419193497968,True,False
gr666,666,298167.0,3809.0,1.294002541123394,True,False
lim963,963,3730.0,941.0,33.739691645751165,True,False
pa561,561,2775.0,12.0,0.43431053203040176,True,True
pbk411,411,1656.0,313.0,23.3060312732688,True,False
pbl395,395,1420.0,139.0,10.850897736143637,True,False
pbm436,436,1653.0,210.0,14.553014553014554,True,False
pbn423,423,1486.0,121.0,8.864468864468865,True,False
pcb442,442,52176.0,1398.0,2.7531608176769464,True,False
pka379,379,1841.0,508.0,38.10952738184546,True,False
rbu737,737,3620.0,306.0,9.233554616777308,True,False
rbx711,711,3397.0,280.0,8.982996470965672,True,False
xql662,662,2895.0,377.0,14.972200158856236,True,False
