instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,1959.0,338.0,20.85132634176434,True,False
dkg813,813,5141.0,1942.0,60.70647077211628,True,False
gr666,666,341565.0,47207.0,16.037274339409834,True,False
lim963,963,4553.0,1764.0,63.24847615632844,True,False
pa561,561,2862.0,99.0,3.5830618892508146,True,False
pbk411,411,1921.0,578.0,43.037974683544306,True,False
pbl395,395,1914.0,633.0,49.414519906323186,True,False
pbm436,436,1977.0,534.0,37.00623700623701,True,False
pbn423,423,1831.0,466.0,34.13919413919414,True,False
pcb442,442,55567.0,4789.0,9.4312497538304,True,False
pka379,379,1734.0,402.0,30.180180180180184,True,False
rbu737,737,4476.0,1162.0,35.06336753168377,True,False
rbx711,711,3841.0,726.0,23.306581059390048,True,False
xql662,662,3697.0,1184.0,47.1150019896538,True,False
