instance_id,n_nodes,original_edges,kept_edges,tour_edges,tour_edges_kept,recall,success,sparsity,min_degree,mean_degree,max_degree
255,466,1279,547,428.0,374.0,0.8738317757009346,False,0.42767787333854573,2,2.347639560699463,4
256,166,453,196,152.0,132.0,0.868421052631579,False,0.4326710816777042,2,2.361445665359497,5
257,77,214,90,68.0,63.0,0.9264705882352942,False,0.4205607476635514,2,2.3376622200012207,4
258,37,108,44,36.0,30.0,0.8333333333333334,False,0.4074074074074074,2,2.378378391265869,3
259,77,214,91,72.0,62.0,0.8611111111111112,False,0.4252336448598131,2,2.3636362552642822,4
260,493,1366,585,442.0,376.0,0.8506787330316742,False,0.42825768667642755,2,2.373225212097168,5
261,28,86,33,24.0,21.0,0.875,False,0.38372093023255816,2,2.357142925262451,4
262,83,232,98,77.0,66.0,0.8571428571428571,False,0.4224137931034483,2,2.361445665359497,4
263,102,278,120,95.0,81.0,0.8526315789473684,False,0.4316546762589928,2,2.3529412746429443,5
264,42,116,50,38.0,34.0,0.8947368421052632,False,0.43103448275862066,2,2.3809523582458496,4
265,333,926,387,302.0,267.0,0.8841059602649006,False,0.41792656587473004,2,2.324324369430542,5
266,64,185,76,59.0,50.0,0.847457627118644,False,0.41081081081081083,2,2.375,4
267,58,161,69,49.0,43.0,0.8775510204081632,False,0.42857142857142855,2,2.379310369491577,3
268,352,974,410,323.0,282.0,0.8730650154798761,False,0.4209445585215606,2,2.329545497894287,4
269,158,442,187,146.0,131.0,0.8972602739726028,False,0.4230769230769231,2,2.367088556289673,4
270,132,370,152,118.0,103.0,0.8728813559322034,False,0.41081081081081083,2,2.303030252456665,5
271,394,1095,464,355.0,310.0,0.8732394366197183,False,0.4237442922374429,2,2.355329990386963,5
272,8,21,10,8.0,6.0,0.75,False,0.47619047619047616,2,2.5,4
273,455,1255,545,409.0,367.0,0.8973105134474327,False,0.4342629482071713,2,2.395604372024536,5
274,140,392,169,129.0,112.0,0.8682170542635659,False,0.43112244897959184,2,2.414285659790039,4
275,174,488,205,160.0,134.0,0.8375,False,0.42008196721311475,2,2.3563218116760254,4
276,406,1126,478,371.0,330.0,0.889487870619946,False,0.42451154529307283,2,2.354679822921753,4
277,210,587,245,198.0,168.0,0.8484848484848485,False,0.41737649063032367,2,2.3333332538604736,4
278,332,924,385,304.0,262.0,0.8618421052631579,False,0.4166666666666667,2,2.319277048110962,4
279,53,145,61,49.0,41.0,0.8367346938775511,False,0.4206896551724138,2,2.301886796951294,3
280,59,168,69,55.0,47.0,0.8545454545454545,False,0.4107142857142857,2,2.3389830589294434,4
281,478,1309,563,438.0,392.0,0.8949771689497716,False,0.43009931245225363,2,2.3556485176086426,4
282,48,135,56,43.0,38.0,0.8837209302325582,False,0.4148148148148148,2,2.3333332538604736,4
283,50,141,59,46.0,40.0,0.8695652173913043,False,0.41843971631205673,2,2.359999895095825,4
