method,n,const_coef,const_p,const_ci_low,const_ci_high,degree_coef,degree_p,degree_ci_low,degree_ci_high,connected_coef,connected_p,connected_ci_low,connected_ci_high,pseudo_r2,converged
Learned (GNN),210,-20.091460450881733,0.994638161347219,-5879.88951699401,5839.706596092246,0.13928247699688845,6.432587328282361e-07,0.0844407628814347,0.1941241911123422,18.623061522143626,0.9950300299574169,-5841.175018051786,5878.421141096073,0.2959735335822731,True
Nearest-K,210,-14.120705784481578,0.9230849865415678,-300.7754509285681,272.53403935960495,0.09430287954411133,3.78832459106103e-05,0.04944143346473469,0.13916432562348796,12.640398782466693,0.9311270535849347,-274.01482860375165,299.2956261686851,0.24114929075903224,True
Random-K,210,-2.294100563640588,0.9973516603178453,-1356.9410355946163,1352.3528344673352,-2.0168913081796527,0.9906063792227395,-337.7758351997852,333.7420525834259,,,,,inf,True
