Method,n_data_points,overall_success_rate,success_rate_k_ge_10,beta,beta_ci_low,beta_ci_high,d0,d0_ci_low,d0_ci_high,n_bootstrap_valid
Learned (GNN),210,0.49190476190476196,0.7755102040816326,0.6766852067923413,0.20909346543543655,1.9967932428104602,8.871374664984677,8.13669059059261,11.68709921275734,1000
Nearest-K,210,0.38761904761904764,0.6265306122448979,0.13113664279016382,0.0938536106866572,0.19381874768029556,16.134770593239494,13.131132099511738,19.4586714315974,1000
Random-K,210,0.0,0.0,,,,,,,0
