instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,2979.0,1358.0,83.775447254781,True,False
dkg813,813,7729.0,4530.0,141.6067521100344,True,False
gr666,666,532383.0,238025.0,80.86241923100442,True,False
lim963,963,6782.0,3993.0,143.1695948368591,True,False
pa561,561,4675.0,1912.0,69.20014477017735,True,False
pbk411,411,2457.0,1114.0,82.94862248696947,True,False
pbl395,395,2229.0,948.0,74.00468384074942,True,False
pbm436,436,2989.0,1546.0,107.13790713790713,True,False
pbn423,423,2334.0,969.0,70.98901098901099,True,False
pcb442,442,82459.0,31681.0,62.39119303635433,True,False
pka379,379,2802.0,1470.0,110.36036036036036,True,False
rbu737,737,6126.0,2812.0,84.85214242607121,True,False
rbx711,711,6309.0,3194.0,102.53611556982342,True,False
xql662,662,4245.0,1732.0,68.9216076402706,True,False
