Method,Mean Recall (%),Success Rate (%),Sparsity (%),Failed Instances
Single-stage (k=5),92.35923188512933,3.934426229508197,7.075742855132583,293
Stage 1 (k=10),96.4517772335762,9.836065573770492,28.859789247117444,275
Cascade S1→S2 (k₁=10→k₂=5),95.80892541131207,6.229508196721312,51.24206090760022,286
"Cascade + Structural (k=4, cap=6)",86.57188788452245,1.639344262295082,42.976471917217715,300
