instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,1816.0,195.0,12.02961135101789,True,False
dkg813,813,4338.0,1139.0,35.604876523913724,True,False
gr666,666,298167.0,3675.0,1.2479116580416445,True,False
lim963,963,3625.0,836.0,29.97490139835066,True,False
pa561,561,2775.0,12.0,0.43431053203040176,True,True
pbk411,411,1563.0,220.0,16.381236038719287,True,False
pbl395,395,1419.0,138.0,10.772833723653395,True,False
pbm436,436,1755.0,312.0,21.62162162162162,True,False
pbn423,423,1553.0,188.0,13.772893772893774,True,False
pcb442,442,52176.0,1398.0,2.7531608176769464,True,False
pka379,379,1611.0,240.0,17.505470459518598,True,False
rbu737,737,3829.0,515.0,15.540132770066384,True,False
rbx711,711,3397.0,280.0,8.982996470965672,True,False
xql662,662,2881.0,366.0,14.552683896620277,True,False
