instance_id,n_nodes,original_edges,kept_edges,tour_edges,tour_edges_kept,recall,success,sparsity
0,245,1341,677,230.0,217.0,0.9434782608695652,False,0.5048471290082028
1,92,524,258,90.0,86.0,0.9555555555555556,False,0.49236641221374045
2,171,943,475,162.0,158.0,0.9753086419753086,False,0.503711558854719
3,346,1977,966,332.0,314.0,0.9457831325301205,False,0.48861911987860396
4,5,10,10,5.0,5.0,1.0,True,1.0
5,385,2161,1067,367.0,354.0,0.9645776566757494,False,0.4937528921795465
6,318,1792,889,304.0,292.0,0.9605263157894737,False,0.49609375
7,366,2028,1011,348.0,335.0,0.9626436781609196,False,0.4985207100591716
8,153,835,421,144.0,136.0,0.9444444444444444,False,0.5041916167664671
9,313,1773,870,298.0,284.0,0.9530201342281879,False,0.4906937394247039
10,7,21,20,7.0,6.0,0.8571428571428571,False,0.9523809523809523
11,451,2517,1240,429.0,408.0,0.951048951048951,False,0.49264998013508143
12,58,325,159,56.0,55.0,0.9821428571428571,False,0.48923076923076925
13,463,2550,1272,438.0,423.0,0.9657534246575342,False,0.4988235294117647
14,61,346,166,58.0,57.0,0.9827586206896551,False,0.4797687861271676
15,326,1840,916,312.0,300.0,0.9615384615384616,False,0.49782608695652175
16,71,400,195,68.0,67.0,0.9852941176470589,False,0.4875
17,144,797,402,136.0,133.0,0.9779411764705882,False,0.5043914680050188
18,449,2499,1246,428.0,410.0,0.9579439252336449,False,0.49859943977591037
19,245,1344,677,236.0,228.0,0.9661016949152542,False,0.5037202380952381
20,15,87,41,14.0,14.0,1.0,True,0.47126436781609193
21,16,95,45,16.0,14.0,0.875,False,0.47368421052631576
22,235,1271,648,223.0,213.0,0.9551569506726457,False,0.5098347757671126
23,425,2369,1175,400.0,389.0,0.9725,False,0.49598986914309834
24,460,2552,1271,442.0,424.0,0.9592760180995475,False,0.4980407523510972
25,67,385,185,64.0,58.0,0.90625,False,0.4805194805194805
26,70,392,200,68.0,66.0,0.9705882352941176,False,0.5102040816326531
27,115,644,317,110.0,104.0,0.9454545454545454,False,0.4922360248447205
28,70,395,198,69.0,63.0,0.9130434782608695,False,0.5012658227848101
29,402,2247,1111,377.0,367.0,0.9734748010610079,False,0.49443702714730753
