instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,3938.0,2317.0,142.93645897594078,True,False
dkg813,813,12906.0,9707.0,303.4385745545483,True,False
gr666,666,681171.0,386813.0,131.40903253860944,True,False
lim963,963,10585.0,7796.0,279.5267120831839,True,False
pa561,561,5887.0,3124.0,113.06550850524792,True,False
pbk411,411,4024.0,2681.0,199.62769918093815,True,False
pbl395,395,3293.0,2012.0,157.0647931303669,True,False
pbm436,436,3631.0,2188.0,151.62855162855163,True,False
pbn423,423,3682.0,2317.0,169.74358974358975,True,False
pcb442,442,81947.0,31169.0,61.38288235062429,True,False
pka379,379,4676.0,3344.0,251.05105105105105,True,False
rbu737,737,10261.0,6947.0,209.6258298129149,True,False
rbx711,711,7570.0,4455.0,143.01765650080256,True,False
xql662,662,7719.0,5206.0,207.1627536808595,True,False
