instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,1999.0,378.0,23.31893892658853,True,False
dkg813,813,5997.0,2798.0,87.46483276023757,True,False
gr666,666,390518.0,96160.0,32.66770395233016,True,False
lim963,963,4947.0,2158.0,77.37540337038365,True,False
pa561,561,3637.0,874.0,31.63228374954759,True,False
pbk411,411,2289.0,946.0,70.43931496649293,True,False
pbl395,395,1834.0,553.0,43.16939890710383,True,False
pbm436,436,2442.0,999.0,69.23076923076923,True,False
pbn423,423,1999.0,634.0,46.446886446886445,True,False
pcb442,442,60080.0,9302.0,18.318957028634447,True,False
pka379,379,2240.0,907.0,68.04201050262566,True,False
rbu737,737,5485.0,2171.0,65.50995775497887,True,False
rbx711,711,4423.0,1306.0,41.89926211100417,True,False
xql662,662,3946.0,1433.0,57.023477914842815,True,False
