graph,n,full_cost,full_runtime,edgegnn_cost,edgegnn_runtime,cascade_best_cost,cascade_best_runtime,cascade_best_factor,speedup_ratio,cost_change_percent
synthetic_1344.tsp,10,32426.23147918705,22.330068349838257,29643.805571992725,22.946967840194706,26599.954406216035,22.977039575576782,factor_0.02000,0.9718427074292801,-17.967789678892046
synthetic_626.tsp,10,34217.22597491347,21.756067991256717,41961.09864060441,22.142400979995728,30597.58421339952,23.200777292251587,factor_0.04160,0.9377301336590407,-10.578419665485757
synthetic_1231.tsp,11,33887.18921911744,23.319376230239868,34644.44656061228,22.499183177948,29360.082927042247,22.17478919029236,factor_0.04160,1.0516165917125646,-13.359344331577756
synthetic_10.tsp,11,34973.72722453451,24.95533514022827,33708.83944053105,24.210026741027832,32386.98962196577,23.398998498916622,factor_0.04749,1.066512959577467,-7.396230850551463
synthetic_180.tsp,11,34703.03369439748,22.58806014060974,37784.9404421954,22.85253357887268,34280.702071275606,22.87150859832764,factor_0.02000,0.9876069190408093,-1.2169876179731796
synthetic_251.tsp,11,33126.078572746206,21.341872692108154,42769.51249906575,24.28410291671753,29990.237475881884,22.15303921699524,factor_0.03375,0.9633835106352009,-9.466381871847247
synthetic_163.tsp,11,28931.642668481447,22.906620502471924,30679.459196314598,24.38148093223572,28625.70059805811,23.26070618629456,factor_0.04749,0.9847775178884609,-1.0574652601963586
synthetic_122.tsp,11,35700.97586706248,23.392374992370605,35009.793983288604,20.641774892807007,33538.47231877903,9.488883018493652,factor_0.02000,2.4652401074793855,-6.057267331671356
synthetic_12.tsp,13,46189.14441634124,27.05699324607849,35415.89308269204,27.359304666519165,41769.9357486306,26.408562421798703,factor_0.03375,1.0245538100076417,-9.567634827518399
synthetic_184.tsp,13,35324.98406798739,30.803215265274048,47617.03520657534,30.73984432220459,41695.060478339175,30.300496339797974,factor_0.02589,1.0165911119025395,18.032779287576663
synthetic_281.tsp,13,34804.96512821793,31.45895409584045,35002.75175159984,30.539036750793457,34795.99956538565,29.49948763847351,factor_0.02000,1.066423745435205,-0.02575943633114302
synthetic_179.tsp,13,42095.86041359132,31.07830500602722,47473.07265802138,30.5168776512146,37421.17916731813,30.276195287704468,factor_0.04160,1.0264930817991025,-11.10484784096228
synthetic_1359.tsp,13,45120.27731000362,29.752074241638184,45087.64296333344,30.915160179138184,36873.36416906968,17.581987857818604,factor_0.04160,1.692190580623545,-18.277620689856697
synthetic_1226.tsp,13,33815.799829952855,29.61016058921814,34528.7585609686,30.88696384429932,31942.26537113339,31.14638900756836,factor_0.04160,0.9506771581778893,-5.540411488832958
synthetic_1353.tsp,14,43497.080758084565,30.533985376358032,39900.610587074254,30.521111249923703,39634.65526030908,31.199883937835693,factor_0.02589,0.9786570179938991,-8.879734985565888
synthetic_1215.tsp,14,52210.30047302446,26.13873553276062,48612.6786195301,27.474505186080933,42504.683501050575,27.617863416671756,factor_0.04160,0.9464430733979861,-18.58946775644107
synthetic_1485.tsp,14,38788.32045968784,32.73358201980591,39817.45414391646,32.52508807182312,45386.4710523717,32.474748373031616,factor_0.02000,1.0079703049212612,17.01066329886911
synthetic_567.tsp,14,29191.433887458385,29.95961141586304,29064.82202291187,31.23308229446411,29180.60734825437,30.68572998046875,factor_0.04160,0.9763369303885592,-0.037088069211520164
synthetic_1363.tsp,15,33678.82945985226,30.059125661849976,39938.6445101491,30.815924882888797,39290.228477078286,30.474815130233765,factor_0.04160,0.9863595737461459,16.661502514258224
synthetic_1247.tsp,15,41524.06221665078,32.64426040649414,40904.1476390886,33.05967950820923,42394.37234584028,41.66974759101868,factor_0.04160,0.7834043231289011,2.0959176023017165
synthetic_687.tsp,15,50193.367687378784,38.39130854606629,40589.31801371588,35.11633014678955,49720.22848369065,33.50742721557617,factor_0.02000,1.1457551873221652,-0.9426329124497235
synthetic_86.tsp,15,44504.69032440881,33.97774934768677,35671.19080879953,34.90389943122864,35370.295248488845,40.06315875053406,factor_0.03375,0.8481046030159525,-20.52456720704371
synthetic_1465.tsp,15,33729.441600533326,32.284464836120605,38376.06167334455,33.01905274391174,29200.784403677266,33.174497842788696,factor_0.03375,0.9731711686824654,-13.426422086941555
synthetic_149.tsp,16,50273.9474126689,38.927971601486206,44918.734711271216,39.66288495063782,44797.86507847912,40.4015429019928,factor_0.04749,0.9635268557915914,-10.89248530504256
