graph,n,full_cost,full_runtime,edgegnn_cost,edgegnn_runtime,cascade_best_cost,cascade_best_runtime,cascade_best_factor
synthetic_1344.tsp,10,23446.851648613614,0.001806020736694336,23446.851648613614,0.001834869384765625,23446.851648613614,0.0017518997192382812,factor_0.02000
synthetic_626.tsp,10,31904.823571582878,0.0022335052490234375,31904.823571582878,0.0017938613891601562,28470.340332549855,0.002468585968017578,factor_0.04749
synthetic_1231.tsp,11,30310.825726813175,0.0026340484619140625,30310.825726813175,0.0023369789123535156,30310.825726813175,0.0017852783203125,factor_0.02000
synthetic_10.tsp,11,30882.62995594825,0.0023546218872070312,30882.62995594825,0.0022783279418945312,30882.62995594825,0.0021600723266601562,factor_0.02000
synthetic_180.tsp,11,34382.54410982973,0.002565145492553711,34382.54410982973,0.0031027793884277344,35671.887773271,0.0017671585083007812,factor_0.02000
synthetic_251.tsp,11,28934.447863821573,0.0035126209259033203,28934.447863821573,0.0024611949920654297,28934.447863821573,0.0021314620971679688,factor_0.02000
synthetic_163.tsp,11,35989.96374088827,0.008643150329589844,35989.96374088827,0.00209808349609375,27218.02307816941,0.0021674633026123047,factor_0.02589
synthetic_122.tsp,11,28484.780867119305,0.0022513866424560547,28484.780867119305,0.0037050247192382812,29792.959937477688,0.0017838478088378906,factor_0.02000
synthetic_1226.tsp,13,30779.198934214335,0.0034377574920654297,30779.198934214335,0.003682374954223633,30779.198934214335,0.0025527477264404297,factor_0.02000
synthetic_179.tsp,13,36782.18702181248,0.0033762454986572266,36782.18702181248,0.008233070373535156,34245.187196295534,0.003264904022216797,factor_0.02000
synthetic_184.tsp,13,39664.21558080912,0.0034418106079101562,39664.21558080912,0.0040013790130615234,32591.765818377597,0.002432584762573242,factor_0.03375
synthetic_281.tsp,13,28971.425979142718,0.004106998443603516,28971.425979142718,0.006780385971069336,29131.387025006807,0.0024356842041015625,factor_0.02000
synthetic_1359.tsp,13,37690.09139998072,0.0029311180114746094,37690.09139998072,0.004262447357177734,36661.49074980968,0.0027360916137695312,factor_0.02000
