method,curve,d0,d0_ci_low,d0_ci_high,beta,beta_ci_low,beta_ci_high,n_bootstrap,fit_success
Learned (GNN),P(success),8.871374664984677,8.13669059059261,11.68709921275734,0.6766852067923413,0.20909346543543655,1.9967932428104602,1000,True
Learned (GNN),P(connected),4.562146924081822,4.184858332391225,5.102272100748387,1.7328021740812993,0.9712204020851916,1015.9260660342051,1000,True
Learned (GNN),P(success|connected),8.867339179833836,8.085251748466195,11.446789859803959,0.598384085311928,0.12865564785953967,1.7022525430727338,1000,True
Nearest-K,P(success),16.134770593239494,13.510274466834895,19.59752053916019,0.13113664279016382,0.09087118863342426,0.19302071434503956,1000,True
Nearest-K,P(connected),5.235330566221529,4.576019343746578,5.889038488322387,0.9598665834136505,0.6987089455746545,2.393722978275198,1000,True
Nearest-K,P(success|connected),15.349992040928003,12.149960395261761,18.873969764134884,0.09617308904259139,0.053633543112540406,0.15439382218736367,1000,True
Random-K,P(success),,,,,,,0,False
Random-K,P(connected),,,,,,,0,False
Random-K,P(success|connected),,,,,,,0,False
