instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,5463.0,3842.0,237.01418877236273,True,False
dkg813,813,14890.0,11691.0,365.45795561112845,True,False
gr666,666,1116038.0,821634.0,279.0838439695113,True,False
lim963,963,14966.0,12177.0,436.60810326281825,True,False
pa561,561,9052.0,6289.0,227.6149113282664,True,False
pbk411,411,4531.0,3188.0,237.37900223380493,True,False
pbl395,395,4353.0,3072.0,239.81264637002343,True,False
pbm436,436,4918.0,3475.0,240.8177408177408,True,False
pbn423,423,4923.0,3558.0,260.65934065934067,True,False
pcb442,442,158131.0,107353.0,211.4163614163614,True,False
pka379,379,4024.0,2692.0,202.10210210210212,True,False
rbu737,737,14299.0,10982.0,331.0823032861019,True,False
rbx711,711,13792.0,10677.0,342.760834670947,True,False
xql662,662,10716.0,8203.0,326.4226024671707,True,False
