instance,n,cost
bcl380,380,1621.0
dkg813,813,3199.0
gr666,666,294492.0
lim963,963,2789.0
pa561,561,2763.0
pbk411,411,1343.0
pbl395,395,1281.0
pbm436,436,1443.0
pbn423,423,1365.0
pcb442,442,50778.0
pka379,379,1371.0
rbu737,737,3314.0
rbx711,711,3117.0
xql662,662,2515.0
