k,mean_recall,success_rate,avg_sparsity,failed_instances
2,80.30010534736108,0.9836065573770493,3.0006497035166326,302
3,87.04668753081643,2.622950819672131,4.376666362274082,297
4,90.4039785588047,2.9508196721311477,5.728468840428924,296
5,92.35923188512933,3.934426229508197,7.075742855132583,293
7,94.61273299896597,6.229508196721312,9.80917578971163,286
8,95.38602510903304,6.885245901639345,11.23721364018102,284
10,96.4517772335762,9.836065573770492,14.136665284424929,275
15,97.93437215077185,14.426229508196723,21.38868138629365,261
20,98.78395291723876,27.86885245901639,28.539312302300758,220
