instance_id,n_nodes,original_edges,kept_edges,tour_edges,tour_edges_kept,recall,success,sparsity
0,245,29890,1341,245.0,230.0,0.9387755102040817,False,0.04486450317832051
1,92,4186,524,92.0,90.0,0.9782608695652174,False,0.12517916865742953
2,171,14535,943,171.0,162.0,0.9473684210526315,False,0.06487788097695218
3,346,4922,1977,339.0,332.0,0.9793510324483776,False,0.40166598943518894
4,5,10,10,5.0,5.0,1.0,True,1.0
5,385,5431,2161,376.0,367.0,0.976063829787234,False,0.3979009390535813
6,318,4561,1792,312.0,304.0,0.9743589743589743,False,0.392896294672221
7,366,5136,2028,356.0,348.0,0.9775280898876404,False,0.39485981308411217
8,153,11628,835,153.0,144.0,0.9411764705882353,False,0.07180942552459581
9,313,4443,1773,304.0,298.0,0.9802631578947368,False,0.39905469277515193
10,7,21,21,7.0,7.0,1.0,True,1.0
11,451,6319,2517,441.0,429.0,0.9727891156462585,False,0.3983225193859788
12,58,1653,325,58.0,56.0,0.9655172413793104,False,0.19661222020568664
13,463,6527,2550,451.0,438.0,0.9711751662971175,False,0.39068484755630456
14,61,1830,346,61.0,58.0,0.9508196721311475,False,0.18907103825136612
15,326,4628,1840,318.0,312.0,0.9811320754716981,False,0.3975799481417459
16,71,2485,400,71.0,68.0,0.9577464788732394,False,0.16096579476861167
17,144,10296,797,144.0,136.0,0.9444444444444444,False,0.07740870240870242
18,449,6328,2499,440.0,428.0,0.9727272727272728,False,0.39491150442477874
19,245,29890,1344,245.0,236.0,0.963265306122449,False,0.04496487119437939
20,15,105,87,15.0,14.0,0.9333333333333333,False,0.8285714285714286
21,16,120,95,16.0,16.0,1.0,True,0.7916666666666666
22,235,27495,1271,235.0,223.0,0.948936170212766,False,0.04622658665211857
23,425,5962,2369,415.0,400.0,0.963855421686747,False,0.39734988258973497
24,460,6469,2552,452.0,442.0,0.9778761061946902,False,0.3944968310403463
25,67,2211,385,67.0,64.0,0.9552238805970149,False,0.17412935323383086
26,70,2415,392,70.0,68.0,0.9714285714285714,False,0.16231884057971013
27,115,6555,644,115.0,110.0,0.9565217391304348,False,0.09824561403508772
28,70,2415,395,70.0,69.0,0.9857142857142858,False,0.16356107660455488
29,402,5665,2247,394.0,377.0,0.9568527918781726,False,0.3966460723742277
30,482,6685,2667,470.0,458.0,0.9744680851063829,False,0.39895287958115183
31,29,406,173,29.0,29.0,1.0,True,0.42610837438423643
32,33,528,191,33.0,32.0,0.9696969696969697,False,0.36174242424242425
33,70,2415,394,70.0,66.0,0.9428571428571428,False,0.16314699792960663
34,524,7432,2877,514.0,501.0,0.9747081712062257,False,0.3871097954790097
35,4,6,6,4.0,4.0,1.0,True,1.0
