instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,13536.0,11915.0,735.0400987045034,True,False
dkg813,813,39359.0,36160.0,1130.3532353860583,True,False
gr666,666,2615138.0,2320734.0,788.2820885585794,True,False
lim963,963,38129.0,35340.0,1267.120831839369,True,False
pa561,561,20238.0,17475.0,632.4647122692725,True,False
pbk411,411,11134.0,9791.0,729.0394638868205,True,False
pbl395,395,10430.0,9149.0,714.207650273224,True,False
pbm436,436,12267.0,10824.0,750.1039501039501,True,False
pbn423,423,11284.0,9919.0,726.6666666666666,True,False
pcb442,442,401022.0,350244.0,689.7554058844381,True,False
pka379,379,13329.0,11997.0,900.6756756756756,True,False
rbu737,737,38218.0,34901.0,1052.1857099788965,True,False
rbx711,711,33663.0,30548.0,980.6741573033709,True,False
xql662,662,25909.0,23396.0,930.9988062077199,True,False
