instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,5475.0,3854.0,237.75447254781002,True,False
dkg813,813,14890.0,11691.0,365.45795561112845,True,False
gr666,666,1116038.0,821680.0,279.1430842715333,True,False
lim963,963,14968.0,12179.0,436.67981355324486,True,False
pa561,561,inf,inf,inf,False,False
pbk411,411,4529.0,3186.0,237.2300819061802,True,False
pbl395,395,4354.0,3073.0,239.89071038251367,True,False
pbm436,436,4918.0,3475.0,240.8177408177408,True,False
pbn423,423,4923.0,3558.0,260.65934065934067,True,False
pcb442,442,158131.0,107353.0,211.4163614163614,True,False
pka379,379,4023.0,2690.0,201.80045011252813,True,False
rbu737,737,14299.0,10985.0,331.4725407362704,True,False
rbx711,711,13795.0,10678.0,342.57298684632656,True,False
xql662,662,10720.0,8207.0,326.58177477118977,True,False
