instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,2167.0,546.0,33.68291178285009,True,False
dkg813,813,5386.0,2187.0,68.36511409815567,True,False
gr666,666,375306.0,80948.0,27.499847124929506,True,False
pa561,561,3732.0,969.0,35.070575461454936,True,False
pbk411,411,1892.0,549.0,40.87862993298585,True,False
pbl395,395,1579.0,298.0,23.263075722092115,True,False
pbm436,436,2017.0,574.0,39.77823977823978,True,False
pbn423,423,1996.0,631.0,46.227106227106226,True,False
pcb442,442,58472.0,7694.0,15.15223128126354,True,False
pka379,379,2176.0,844.0,63.36336336336337,True,False
rbu737,737,4906.0,1592.0,48.03862401931201,True,False
rbx711,711,4234.0,1116.0,35.79217447081462,True,False
xql662,662,3789.0,1276.0,50.775964982093114,True,False
