instance,k,n,avg_degree,sparsity,is_connected,feasible,gap,success,n_seeds,success_std
bcl380,2,380,2.478947368421052,0.6540758228023881,False,False,94.60209747069709,0.0,10,0.0
dkg813,2,813,2.496924969249692,0.30750307503075003,False,False,137.32132395716056,0.0,10,0.0
gr666,2,666,2.621621621621621,0.39422881528144604,False,False,78.6134130739587,0.0,10,0.0
lim963,2,963,2.467289719626168,0.25647502283016305,False,False,134.53567586948728,0.0,10,0.0
pa561,2,561,2.516934046345811,0.44945250827603705,False,False,73.8038364096996,0.0,10,0.0
pbk411,2,411,2.564476885644769,0.625482167230431,False,False,83.2241250930752,0.0,10,0.0
pbl395,2,395,2.556962025316455,0.6489751333290491,False,False,69.61748633879782,0.0,10,0.0
pbm436,2,436,2.568807339449541,0.590530422861963,False,False,105.9043659043659,0.0,10,0.0
pbn423,2,423,2.539007092198581,0.601660448388289,False,False,76.46886446886448,0.0,10,0.0
pcb442,2,442,2.583710407239819,0.5858753757913421,False,False,58.86387805742645,0.0,10,0.0
pka379,2,379,2.617414248021108,0.6924376317516161,False,False,79.8462693151751,0.0,10,0.0
rbu737,2,737,2.534599728629579,0.34437496312901805,False,False,81.5992757996379,0.0,10,0.0
rbx711,2,711,2.50632911392405,0.35300410055268305,False,False,104.0822167670585,0.0,10,0.0
xql662,2,662,2.510574018126888,0.379814526191662,False,False,76.1779252996714,0.0,10,0.0
bcl380,3,380,3.747368421052631,0.9887515622830161,False,False,27.73596545342381,0.0,10,0.0
dkg813,3,813,3.660516605166052,0.45080253758202604,False,False,57.583031013967876,0.0,10,0.0
gr666,3,666,3.7987987987987992,0.571247939668992,False,False,16.85730746593497,0.0,10,0.0
lim963,3,963,3.57632398753894,0.37175925026392304,False,False,65.76192183578344,0.0,10,0.0
pa561,3,561,3.70409982174688,0.6614463967405141,True,True,3.583061889250815,0.0,10,0.0
pbk411,3,411,3.654501216545012,0.8913417601329291,False,False,44.05807892777364,0.0,10,0.0
pbl395,3,395,3.736708860759493,0.948403264152155,False,False,41.217798594847785,0.0,10,0.0
pbm436,3,436,3.68348623853211,0.8467784456395651,False,False,42.52252252252252,0.0,10,0.0
pbn423,3,423,3.664302600472813,0.8683181517708081,False,False,36.77655677655678,0.0,10,0.0
pcb442,3,442,3.524886877828054,0.7992940766050011,True,True,8.703572413249834,0.0,10,0.0
pka379,3,379,3.8047493403693933,1.006547444542167,False,False,34.36136822661517,0.0,10,0.0
rbu737,3,737,3.704206241519674,0.503288891510825,False,False,36.532890766445384,0.0,10,0.0
rbx711,3,711,3.752461322081575,0.5285156791664191,False,False,22.37655460579404,0.0,10,0.0
xql662,3,662,3.691842900302115,0.558523888094117,False,False,48.085577470730115,0.0,10,0.0
bcl380,4,380,4.905263157894737,1.2942646854603521,True,True,9.32140653917335,0.0,10,0.0
dkg813,4,813,4.868388683886839,0.59955525663631,False,False,27.135021204591915,0.0,10,0.0
gr666,4,666,4.945945945945946,0.7437512700670591,True,True,1.284784364507044,0.0,10,0.0
lim963,4,963,4.722741433021807,0.49092946289207906,False,False,31.229831480817495,0.0,10,0.0
pa561,4,561,4.862745098039215,0.868347338935574,True,True,0.43792978646398845,1.0,10,0.0
pbk411,4,411,4.81265206812652,1.173817577591834,False,False,19.67982129560685,0.0,10,0.0
pbl395,4,395,4.886075949367089,1.240120799331748,True,True,11.061670569867289,0.0,10,0.0
