k,success_rate,mean_gap,std_gap,count,success_se,success_ci_low,success_ci_high
2,0.0,89.6186252732197,23.310173018154313,14,0.0,0.0,0.0
3,0.0,34.725443425921156,17.60567873664125,14,0.0,0.0,0.0
4,0.07142857142857142,13.899462231841184,10.082550298917191,14,0.0688302936899594,-0.06347880420374899,0.20633594706089184
5,0.14285714285714285,6.6918006242127515,5.75417371734155,14,0.09352195295828244,-0.04044588494109075,0.32616017065537645
6,0.21428571428571427,5.683207156547248,7.543965376006191,14,0.10966421051124835,-0.0006561383163324885,0.42922756688776104
7,0.2928571428571428,3.7074662467532487,7.239106885336692,14,0.1216234930121567,0.05447509655331567,0.53123918916097
8,0.35000000000000003,2.1377885181008804,4.080456667842547,14,0.1274754878398196,0.10014804383395362,0.5998519561660465
9,0.35714285714285715,2.018196669742408,4.4549456099043185,14,0.12806020814297073,0.1061448491826345,0.6081408651030797
10,0.5,1.759321738065086,4.266016587425939,14,0.1336306209562122,0.2380839829258241,0.7619160170741759
12,0.5857142857142856,1.657867063200586,4.117119240743809,14,0.1316524269280099,0.3276755289353862,0.8437530424931851
15,0.65,1.6033849830972893,4.170952790877341,14,0.1274754878398196,0.40014804383395364,0.8998519561660464
17,0.6357142857142858,1.582114872268572,4.08157862705581,14,0.12861393855062667,0.38363096615505754,0.887797605273514
20,0.6428571428571429,1.5883094654582204,4.08872525578244,14,0.12806020814297073,0.39185913489692026,0.8938551508173656
22,0.6785714285714286,1.6330355123581115,4.0851716273237235,14,0.1248176512522966,0.43392883211692723,0.92321402502593
25,0.6928571428571428,1.5753460667589672,4.145569288187216,14,0.1232900536044342,0.4512086377924518,0.9345056479218339
