instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,6079.0,4458.0,275.01542257865515,True,False
dkg813,813,16117.0,12916.0,403.49890659169006,True,False
gr666,666,1209754.0,915396.0,310.98050672990036,True,False
lim963,963,16156.0,13367.0,479.2757260666906,True,False
pa561,561,10018.0,7255.0,262.5769091567137,True,False
pbk411,411,4941.0,3598.0,267.9076693968727,True,False
pbl395,395,4482.0,3201.0,249.88290398126463,True,False
pbm436,436,5332.0,3889.0,269.5079695079695,True,False
pbn423,423,5130.0,3765.0,275.8241758241758,True,False
pcb442,442,168538.0,117760.0,231.91145771790934,True,False
pka379,379,4326.0,2993.0,224.5311327831958,True,False
rbu737,737,15739.0,12425.0,374.92456246228124,True,False
rbx711,711,14398.0,11281.0,361.9185113891562,True,False
xql662,662,12421.0,9908.0,394.2697970553124,True,False
