instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,2964.0,1343.0,82.85009253547193,True,False
dkg813,813,7322.0,4123.0,128.8840262582057,True,False
gr666,666,523563.0,229205.0,77.8660678493535,True,False
lim963,963,6433.0,3644.0,130.6561491574041,True,False
pa561,561,4896.0,2133.0,77.19869706840392,True,False
pbk411,411,2500.0,1157.0,86.15040953090097,True,False
pbl395,395,2209.0,928.0,72.44340359094458,True,False
pbm436,436,2935.0,1492.0,103.39570339570339,True,False
pbn423,423,2440.0,1075.0,78.75457875457876,True,False
pcb442,442,78166.0,27388.0,53.93674425932491,True,False
pka379,379,2750.0,1418.0,106.45645645645645,True,False
rbu737,737,5814.0,2500.0,75.43753771876885,True,False
rbx711,711,6334.0,3219.0,103.33868378812198,True,False
xql662,662,4374.0,1861.0,74.05491444488659,True,False
