instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,6307.0,4686.0,289.080814312153,True,False
dkg813,813,17262.0,14063.0,439.6061269146609,True,False
gr666,666,1259384.0,964980.0,327.7740791565332,True,False
lim963,963,17156.0,14367.0,515.1308712800287,True,False
pa561,561,10870.0,8107.0,293.4129569308722,True,False
pbk411,411,5613.0,4270.0,317.94489947877884,True,False
pbl395,395,4717.0,3436.0,268.22794691647147,True,False
pbm436,436,5975.0,4532.0,314.0679140679141,True,False
pbn423,423,5333.0,3968.0,290.6959706959707,True,False
pcb442,442,185964.0,135186.0,266.2294694552759,True,False
pka379,379,4680.0,3348.0,251.35135135135135,True,False
rbu737,737,16457.0,13140.0,396.14109134760326,True,False
rbx711,711,15683.0,12568.0,403.4670947030498,True,False
xql662,662,12456.0,9943.0,395.66255471547953,True,False
