instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,1641.0,20.0,1.2338062924120914,True,False
dkg813,813,3760.0,561.0,17.536730228196312,True,False
gr666,666,295433.0,1075.0,0.36520155728738474,True,True
lim963,963,2964.0,175.0,6.274650412334171,True,False
pa561,561,2765.0,2.0,0.07238508867173363,True,True
pbk411,411,1496.0,153.0,11.39240506329114,True,False
pbl395,395,1297.0,16.0,1.249024199843872,True,False
pbm436,436,1493.0,50.0,3.465003465003465,True,False
pbn423,423,1415.0,50.0,3.6630036630036633,True,False
pcb442,442,51121.0,343.0,0.6754893851668046,True,True
pka379,379,1701.0,369.0,27.7027027027027,True,False
rbu737,737,3412.0,98.0,2.957151478575739,True,False
rbx711,711,3167.0,52.0,1.6693418940609952,True,False
xql662,662,2597.0,84.0,3.3426183844011144,True,False
