k,success_rate,mean_gap,std_gap,count,success_se,success_ci_low,success_ci_high
2,0.0,inf,,14,0.0,0.0,0.0
3,0.0,52.88767549539599,21.11554012570337,14,0.0,0.0,0.0
4,0.0,16.34692335031554,8.252210643038635,14,0.0,0.0,0.0
5,0.07142857142857142,6.715045537492209,5.793138887199907,14,0.0688302936899594,-0.06347880420374899,0.20633594706089184
6,0.07142857142857142,4.241535448154122,4.875775246024082,14,0.0688302936899594,-0.06347880420374899,0.20633594706089184
7,0.39999999999999997,2.8972778191426913,4.908619546379923,14,0.13093073414159542,0.14337576108247296,0.656624238917527
8,0.6785714285714286,2.4596623907923663,4.934947284135622,14,0.1248176512522966,0.43392883211692723,0.92321402502593
9,0.7285714285714285,2.362425274356229,4.665752662043228,14,0.11885017640494641,0.49562508281773354,0.9615177743251235
10,0.7428571428571429,2.1262696551863636,4.74200059231518,14,0.1168088818061566,0.513911734517076,0.9718025511972098
12,0.7714285714285715,2.040258910909645,4.718669106318209,14,0.11222634354993893,0.5514649380706912,0.9913922047864517
15,0.7714285714285715,2.0640292768062696,4.555306139369553,14,0.11222634354993893,0.5514649380706912,0.9913922047864517
17,0.7857142857142857,1.9576298406813402,4.59555460594071,14,0.10966421051124836,0.5707724331122389,1.0006561383163324
20,0.7857142857142857,1.933336444391221,4.607437474851457,14,0.10966421051124836,0.5707724331122389,1.0006561383163324
22,0.7857142857142857,1.9287279829303041,4.6080671730050655,14,0.10966421051124836,0.5707724331122389,1.0006561383163324
25,0.7857142857142857,1.9284639564403858,4.608086835171578,14,0.10966421051124836,0.5707724331122389,1.0006561383163324
