instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,10979.0,9358.0,577.2979642196175,True,False
dkg813,813,31953.0,28752.0,898.2193064667291,True,False
gr666,666,2304111.0,2009753.0,682.75807010511,True,False
lim963,963,30627.0,27838.0,998.1355324489064,True,False
pa561,561,17481.0,14718.0,532.6818675352877,True,False
pbk411,411,9239.0,7896.0,587.9374534623977,True,False
pbl395,395,7817.0,6536.0,510.2263856362217,True,False
pbm436,436,9890.0,8447.0,585.3776853776853,True,False
pbn423,423,9556.0,8191.0,600.07326007326,True,False
pcb442,442,337287.0,286509.0,564.2384497223208,True,False
pka379,379,10274.0,8941.0,670.7426856714178,True,False
rbu737,737,29201.0,25887.0,781.1406155703078,True,False
rbx711,711,28315.0,25198.0,808.4055181264036,True,False
xql662,662,21461.0,18948.0,753.99920413848,True,False
